Date,BW,Remark
2023/10/26,563.1,
2023/10/26,511.8,
2023/10/26,778.1,
2023/10/26,797.1,
2023/10/26,463.9,
2023/10/26,718.5,
2023/10/26,528,
2023/10/26,476.4,
2023/10/26,475.5,
2023/10/27,740,
2023/10/27,746,
2023/10/27,646,
2023/10/27,408,
2023/10/27,537,
2023/10/27,585,
2023/10/27,700,
2023/10/27,719,
2023/10/27,740,
2023/10/27,711,
2023/10/27,779,
2023/10/27,619,
2023/10/27,390,
2023/10/27,726,
2023/10/27,835,
2023/10/27,544,
2023/10/27,601,
2023/10/27,398,
2023/10/27,586,
2023/10/27,448,
2023/10/27,579,
2023/10/27,531,
2023/10/27,553,
2023/10/27,423,
2023/10/27,771,
2023/10/27,732,
2023/10/27,736,
2023/10/27,883,
2023/10/27,586,
2023/10/27,569,
2023/10/27,561,
2023/10/27,376,
2023/10/27,665,
2023/10/27,372,
2023/10/27,490,
2023/10/27,468,
2023/10/27,652,
2023/10/27,797,
2023/10/27,775,
2023/10/27,806,
2023/10/27,610,
2023/10/27,470,
2023/10/27,521,
2023/10/27,666,
2023/10/27,576,
2023/10/27,528,
2023/10/27,935,
2023/10/27,395,
2023/10/27,758,
2023/10/27,711,
2023/10/27,721,
2023/10/27,531,
2023/10/27,698,
2023/10/27,576,
2023/10/27,589,
2023/10/27,536,
2023/10/27,571,
2023/10/27,920,
2023/10/27,497,
2023/10/27,516,
2023/10/27,749,
2023/10/27,751,
2023/10/27,488,
2023/10/27,484,
2023/10/27,773,
2023/10/27,388,
2023/10/27,659,
2023/10/27,700,
2023/10/27,769,
2023/10/27,524,
2023/10/27,600,
2023/10/27,671,
2023/10/27,633,
2023/10/27,640,
2023/10/27,766,
2023/10/27,566,
2023/10/27,479,
2023/10/27,589,
2023/10/27,840,
2023/10/27,356,
2023/10/27,365,
2023/10/27,669,
2023/10/27,506,
2023/10/27,515,
2023/10/27,678,
2023/10/27,730,
2023/10/27,694,
2023/10/27,572,
2023/10/27,810,
2023/10/27,477,
2023/10/27,551,
2023/10/27,475,
2023/10/27,397,
2023/10/27,481,
2023/10/27,550,
2023/10/27,699,
2023/10/27,502,
2023/10/27,593,
2023/10/27,449,
2023/10/27,873,
2023/10/27,511,
2023/10/27,571,
2023/10/27,446,
2023/10/27,445,
2023/10/27,583,
2023/10/27,493,
2023/10/27,619,
2023/10/27,667,
2023/10/27,822,
2023/10/27,807,
2023/10/27,539,
2023/10/27,891,
2023/10/27,395,
2023/10/27,874,
2023/10/27,432,
2023/10/27,534,
2023/10/27,516,
2023/10/27,704,
2023/10/27,569,
2023/10/27,476,
2023/10/27,694,
2023/10/27,588,
2023/10/27,400,
2023/10/27,494,
2023/10/27,563,
2023/10/27,573,
2023/10/27,659,
2023/10/27,511,
2023/10/27,389,
2023/10/27,792,
2023/10/27,449,
2023/10/27,445,
2023/10/27,673,
2023/10/27,525,
2023/10/27,695,
2023/10/27,599,
2023/10/27,454,
2023/10/27,715,
2023/10/27,562,
2023/10/27,541,
2023/10/27,367,
2023/10/27,785,
2023/10/27,479,
2023/10/27,383,
2023/10/27,529,
2023/10/27,528,
2023/10/27,510,
2023/10/27,734,
2023/10/27,484,
2023/10/27,900,
2023/10/27,506,
2023/10/27,722,
2023/10/27,657,
2023/10/27,541,
2023/10/27,589,
2023/10/27,431,
2023/10/27,572,
2023/10/27,716,
2023/10/27,669,
2023/10/27,948,
2023/10/27,550,
2023/10/27,398,
2023/10/27,520,
2023/10/27,504,
2023/10/27,676,
2023/10/27,679,
2023/10/27,482,
2023/10/27,396,
2023/10/27,724,
2023/10/27,620,
2023/10/27,550,
2023/10/27,459,
2023/10/27,737,
2023/10/27,528,
2023/10/27,702,
2023/10/27,672,
2023/10/27,467,
2023/12/21,1700,
2023/12/21,960,
2023/12/21,620,
2023/12/21,1160,
2023/12/21,580,
2023/12/21,1100,
2023/12/21,1080,
2023/12/21,520,
2023/12/21,920,
2023/12/21,660,
2023/12/21,660,
2023/12/21,1020,
2023/12/21,660,
2023/12/21,620,
2023/12/21,500,
2023/12/21,840,
2023/12/21,840,
2023/12/21,780,
2023/12/21,960,
2023/12/21,540,
2023/12/21,580,
2023/12/21,600,
2023/12/21,1100,
2023/12/21,680,
2023/12/21,600,
2023/12/21,1380,
2023/12/21,660,
2023/12/21,500,
2023/12/21,740,
2023/12/21,460,
2023/12/21,560,
2023/12/21,420,
2023/12/21,820,
2023/12/21,520,
2023/12/21,840,
2023/12/21,520,
2023/12/21,380,
2023/12/21,460,
2023/12/21,540,
2023/12/21,1080,
2023/12/21,840,
2023/12/21,440,
2023/12/21,520,
2023/12/21,800,
2023/12/21,520,
2023/12/21,360,
2023/12/21,640,
2023/12/21,380,
2023/12/21,820,
2023/12/21,440,
2023/12/21,1000,
2023/12/21,840,
2023/12/21,840,
2023/12/21,1020,
2023/12/21,820,
2023/12/21,1100,
2023/12/21,920,
2023/12/21,740,
2023/12/21,740,
2023/12/21,680,
2023/12/21,660,
2023/12/21,240,
2023/12/21,900,
2023/12/21,892.7,
2023/12/21,871.9,
2023/12/21,512.7,
2023/12/21,724.8,
2023/12/21,779,
2023/12/21,688.6,
2023/12/21,746.8,
2023/12/21,520.1,
2023/12/21,418.7,
2023/12/21,942,
2023/12/21,628.8,
2023/12/21,370.1,
2023/12/21,983.8,
2023/12/21,774.3,
2023/12/21,684.5,
2023/12/21,785.9,
2023/12/21,974.1,
2023/12/21,941.9,
2023/12/21,694.4,
2023/12/21,757.4,
2023/12/21,780.9,
2023/12/21,641.6,
2023/12/21,472.9,
2023/12/21,505.8,
2024/5/17,472,大
2024/5/17,322,大
2024/5/17,378,大
2024/5/17,210,大
2024/5/17,298,大
2024/5/17,239,大
2024/5/17,218,大
2024/5/17,233,大
2024/5/17,193,大
2024/5/17,186,大
2024/5/17,149,中
2024/5/17,105,中
2024/5/17,139,中
2024/5/17,171,中
2024/5/17,184,中
2024/5/17,184,中
2024/5/17,159,中
2024/5/17,164,中
2024/5/17,160,中
2024/5/17,115,中
2024/6/25,426,大
2024/6/25,346,大
2024/6/25,394,大
2024/6/25,613,大
2024/6/25,770,大
2024/6/25,698,大
2024/6/25,561,大
2024/6/25,573,大
2024/6/25,531,大
2024/6/25,634,大
2024/6/25,318,中
2024/6/25,277,中
2024/6/25,272,中
2024/6/25,439,中
2024/6/25,405,中
2024/6/25,258,中
2024/6/25,289,中
2024/6/25,249,中
2024/6/25,268,中
2024/6/25,272,中
2024/8/9,1275,大
2024/8/9,1644,大
